word,meaning,sentences,image_terms
コンビニ,loja de conveniência,コンビニに行きます。|コンビニで水を買います。|このコンビニは便利です。|夜コンビニに行きました。|コンビニで働きます。,convenience store|japanese convenience store|night store
スーパー,supermercado,スーパーに行きます。|スーパーで野菜を買います。|このスーパーは安いです。|毎日スーパーに行きます。|スーパーは大きいです。,supermarket|grocery store|market
カフェ,café,カフェに行きます。|カフェでコーヒーを飲みます。|このカフェは静かです。|カフェで勉強します。|友達とカフェに行きます。,cafe|coffee shop|coffee
レストラン,restaurante,レストランに行きます。|レストランで食べます。|このレストランは有名です。|家族とレストランに行きます。|レストランで働きます。,restaurant|dining|food restaurant
ホテル,hotel,ホテルに泊まります。|このホテルは高いです。|ホテルで朝ごはんを食べます。|ホテルにチェックインします。|ホテルはきれいです。,hotel|hotel room|lobby
タクシー,táxi,タクシーに乗ります。|タクシーで行きます。|タクシーを呼びます。|タクシーは便利です。|タクシーで帰ります。,taxi|cab|ride
バス,ônibus,バスに乗ります。|バスで学校に行きます。|バスは速いです。|バスを待ちます。|バスで帰ります。,bus|public transport|city bus
テレビ,televisão,テレビを見ます。|テレビは面白いです。|毎日テレビを見ます。|テレビでニュースを見ます。|テレビを買いました。,television|tv|watching tv
スマホ,smartphone,スマホを使います。|スマホで電話します。|スマホは便利です。|新しいスマホを買いました。|スマホで写真を撮ります。,smartphone|mobile phone|cell phone
パソコン,computador,パソコンを使います。|パソコンで仕事します。|パソコンは便利です。|新しいパソコンを買いました。|パソコンで勉強します。,computer|laptop|pc
インターネット,internet,インターネットを使います。|インターネットで調べます。|インターネットは速いです。|毎日インターネットを使います。|インターネットで勉強します。,internet|online|web
メール,email,メールを送ります。|メールを読みます。|毎日メールをチェックします。|メールを書きます。|友達にメールします。,email|mail|message
アプリ,aplicativo,アプリを使います。|新しいアプリをダウンロードします。|このアプリは便利です。|毎日アプリを使います。|アプリを作ります。,app|mobile app|application
データ,dados,データを保存します。|データを見ます。|データを使います。|データを送ります。|データを削除します。,data|database|information
サーバー,servidor,サーバーを使います。|サーバーを管理します。|サーバーは速いです。|サーバーに接続します。|サーバーを設定します。,server|data server|hosting
キーボード,teclado,キーボードを使います。|キーボードで入力します。|キーボードは便利です。|新しいキーボードを買いました。|キーボードを掃除します。,keyboard|typing|computer keyboard
マウス,mouse,マウスを使います。|マウスでクリックします。|マウスは便利です。|新しいマウスを買いました。|マウスを動かします。,mouse|computer mouse|pc mouse
プログラム,programa,プログラムを書きます。|プログラムを作ります。|プログラムを勉強します。|プログラムを実行します。|プログラムを修正します。,programming|code|software
パン,pão,パンを食べます。|パンを買います。|このパンはおいしいです。|朝パンを食べます。|パンが好きです。,bread|bakery|fresh bread
コーヒー,café,コーヒーを飲みます。|朝コーヒーを飲みます。|コーヒーは苦いです。|カフェでコーヒーを飲みます。|コーヒーが好きです。,coffee|espresso|cafe coffee
ジュース,suco,ジュースを飲みます。|ジュースを買います。|このジュースは甘いです。|毎日ジュースを飲みます。|ジュースが好きです。,juice|fruit juice|drink
ビール,cerveja,ビールを飲みます。|ビールは冷たいです。|友達とビールを飲みます。|ビールを買います。|ビールが好きです。,beer|drink beer|alcohol drink
ワイン,vinho,ワインを飲みます。|赤ワインを飲みます。|ワインはおいしいです。|ワインを買います。|ワインが好きです。,wine|red wine|drink wine
アイスクリーム,sorvete,アイスクリームを食べます。|アイスクリームは冷たいです。|夏にアイスクリームを食べます。|アイスクリームを買います。|アイスクリームが好きです。,ice cream|dessert|cold dessert
サラダ,salada,サラダを食べます。|サラダを作ります。|サラダは健康です。|サラダを買います。|毎日サラダを食べます。,salad|healthy food|vegetable salad
チーズ,queijo,チーズを食べます。|チーズはおいしいです。|チーズを買います。|パンにチーズをのせます。|チーズが好きです。,cheese|dairy|food cheese
カレー,curry,カレーを食べます。|カレーを作ります。|カレーは辛いです。|毎週カレーを食べます。|カレーが好きです。,curry|japanese curry|food curry
ピザ,pizza,ピザを食べます。|ピザを注文します。|ピザはおいしいです。|友達とピザを食べます。|ピザが好きです。,pizza|food pizza|italian pizza
ハンバーガー,hambúrguer,ハンバーガーを食べます。|ハンバーガーを買います。|ハンバーガーはおいしいです。|昼ハンバーガーを食べます。|ハンバーガーが好きです。,burger|hamburger|fast food
ラーメン,ramen,ラーメンを食べます。|ラーメンはおいしいです。|夜ラーメンを食べます。|ラーメンを作ります。|ラーメンが好きです。,ramen|japanese noodles|noodle soup
ゲーム,jogo,ゲームを使います。|ゲームを見ます。|ゲームを買います。|ゲームは便利です。|ゲームが好きです。,ゲーム|daily ゲーム|japanese ゲーム
カメラ,câmera,カメラを使います。|カメラを見ます。|カメラを買います。|カメラは便利です。|カメラが好きです。,カメラ|daily カメラ|japanese カメラ
ノート,caderno,ノートを使います。|ノートを見ます。|ノートを買います。|ノートは便利です。|ノートが好きです。,ノート|daily ノート|japanese ノート
ペン,caneta,ペンを使います。|ペンを見ます。|ペンを買います。|ペンは便利です。|ペンが好きです。,ペン|daily ペン|japanese ペン
ドア,porta,ドアを使います。|ドアを見ます。|ドアを買います。|ドアは便利です。|ドアが好きです。,ドア|daily ドア|japanese ドア
エアコン,ar-condicionado,エアコンを使います。|エアコンを見ます。|エアコンを買います。|エアコンは便利です。|エアコンが好きです。,エアコン|daily エアコン|japanese エアコン
シャワー,chuveiro,シャワーを使います。|シャワーを見ます。|シャワーを買います。|シャワーは便利です。|シャワーが好きです。,シャワー|daily シャワー|japanese シャワー
ベッド,cama,ベッドを使います。|ベッドを見ます。|ベッドを買います。|ベッドは便利です。|ベッドが好きです。,ベッド|daily ベッド|japanese ベッド
テレビゲーム,videogame,テレビゲームを使います。|テレビゲームを見ます。|テレビゲームを買います。|テレビゲームは便利です。|テレビゲームが好きです。,テレビゲーム|daily テレビゲーム|japanese テレビゲーム
ニュース,notícia,ニュースを使います。|ニュースを見ます。|ニュースを買います。|ニュースは便利です。|ニュースが好きです。,ニュース|daily ニュース|japanese ニュース
スポーツ,esporte,スポーツを使います。|スポーツを見ます。|スポーツを買います。|スポーツは便利です。|スポーツが好きです。,スポーツ|daily スポーツ|japanese スポーツ
サッカー,futebol,サッカーを使います。|サッカーを見ます。|サッカーを買います。|サッカーは便利です。|サッカーが好きです。,サッカー|daily サッカー|japanese サッカー
バスケット,basquete,バスケットを使います。|バスケットを見ます。|バスケットを買います。|バスケットは便利です。|バスケットが好きです。,バスケット|daily バスケット|japanese バスケット
テニス,tênis,テニスを使います。|テニスを見ます。|テニスを買います。|テニスは便利です。|テニスが好きです。,テニス|daily テニス|japanese テニス
ランニング,corrida,ランニングを使います。|ランニングを見ます。|ランニングを買います。|ランニングは便利です。|ランニングが好きです。,ランニング|daily ランニング|japanese ランニング
トレーニング,treinamento,トレーニングを使います。|トレーニングを見ます。|トレーニングを買います。|トレーニングは便利です。|トレーニングが好きです。,トレーニング|daily トレーニング|japanese トレーニング
ジム,academia,ジムを使います。|ジムを見ます。|ジムを買います。|ジムは便利です。|ジムが好きです。,ジム|daily ジム|japanese ジム
ヨガ,yoga,ヨガを使います。|ヨガを見ます。|ヨガを買います。|ヨガは便利です。|ヨガが好きです。,ヨガ|daily ヨガ|japanese ヨガ
ダンス,dança,ダンスを使います。|ダンスを見ます。|ダンスを買います。|ダンスは便利です。|ダンスが好きです。,ダンス|daily ダンス|japanese ダンス
ミュージック,música,ミュージックを使います。|ミュージックを見ます。|ミュージックを買います。|ミュージックは便利です。|ミュージックが好きです。,ミュージック|daily ミュージック|japanese ミュージック
ギター,guitarra,ギターを使います。|ギターを見ます。|ギターを買います。|ギターは便利です。|ギターが好きです。,ギター|daily ギター|japanese ギター
ピアノ,piano,ピアノを使います。|ピアノを見ます。|ピアノを買います。|ピアノは便利です。|ピアノが好きです。,ピアノ|daily ピアノ|japanese ピアノ
ドラム,bateria,ドラムを使います。|ドラムを見ます。|ドラムを買います。|ドラムは便利です。|ドラムが好きです。,ドラム|daily ドラム|japanese ドラム
バンド,banda,バンドを使います。|バンドを見ます。|バンドを買います。|バンドは便利です。|バンドが好きです。,バンド|daily バンド|japanese バンド
ライブ,show ao vivo,ライブを使います。|ライブを見ます。|ライブを買います。|ライブは便利です。|ライブが好きです。,ライブ|daily ライブ|japanese ライブ
